[front_panel]
mode=T1 - R1
output=10 dB
gain=25 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
7,043E+00	9,027E-01	
7,056E+00	2,566E+00	
7,068E+00	1,444E+00	
7,080E+00	2,223E+00	
7,092E+00	2,218E+00	
7,104E+00	5,460E-01	
7,117E+00	1,306E+00	
7,129E+00	2,111E+00	
7,141E+00	1,513E+00	
7,153E+00	1,491E+00	
7,166E+00	2,642E+00	
7,178E+00	7,683E-01	
7,190E+00	1,535E+00	
7,202E+00	1,782E+00	
7,214E+00	1,238E+00	
7,227E+00	9,025E-01	
7,239E+00	2,616E+00	
7,251E+00	1,233E+00	
7,263E+00	1,699E+00	
7,275E+00	2,114E+00	
7,288E+00	5,681E-01	
7,300E+00	8,290E-01	
7,312E+00	2,268E+00	
7,324E+00	1,212E+00	
7,336E+00	1,744E+00	
7,349E+00	2,386E+00	
7,361E+00	2,500E-01	
7,373E+00	1,195E+00	
7,385E+00	1,691E+00	
7,397E+00	9,300E-01	
7,410E+00	1,600E+00	
7,422E+00	2,443E+00	
7,434E+00	8,991E-01	
7,446E+00	1,722E+00	
7,458E+00	1,436E+00	
7,471E+00	3,481E-01	
7,483E+00	1,436E+00	
7,495E+00	2,001E+00	
7,507E+00	9,180E-01	
7,520E+00	1,859E+00	
7,532E+00	1,294E+00	
7,544E+00	3,176E-01	
7,556E+00	1,335E+00	
7,568E+00	1,559E+00	
7,581E+00	9,533E-01	
7,593E+00	1,831E+00	
7,605E+00	9,398E-01	
7,617E+00	6,217E-01	
7,629E+00	1,230E+00	
7,642E+00	1,123E+00	
7,654E+00	8,866E-01	
7,666E+00	1,307E+00	
7,678E+00	4,751E-01	
7,690E+00	6,062E-01	
7,703E+00	1,474E+00	
7,715E+00	6,135E-01	
7,727E+00	1,028E+00	
7,739E+00	9,627E-01	
7,751E+00	2,534E-01	
7,764E+00	5,361E-01	
7,776E+00	1,234E+00	
7,788E+00	6,885E-01	
7,800E+00	1,341E+00	
7,813E+00	9,226E-01	
7,825E+00	3,042E-01	
7,837E+00	5,847E-01	
7,849E+00	9,332E-01	
7,861E+00	6,594E-01	
7,874E+00	1,531E+00	
7,886E+00	8,311E-01	
7,898E+00	8,222E-01	
7,910E+00	7,302E-01	
7,922E+00	4,321E-01	
7,935E+00	2,849E-01	
7,947E+00	1,358E+00	
7,959E+00	5,238E-01	
7,971E+00	9,852E-01	
7,983E+00	9,566E-01	
7,996E+00	2,595E-01	
8,008E+00	5,930E-01	
8,020E+00	8,707E-01	
8,032E+00	3,015E-01	
8,044E+00	9,780E-01	
8,057E+00	9,818E-01	
8,069E+00	5,953E-01	
8,081E+00	9,111E-01	
8,093E+00	3,930E-01	
8,105E+00	3,953E-01	
8,118E+00	6,337E-01	
8,130E+00	8,013E-01	
8,142E+00	5,017E-01	
8,154E+00	1,177E+00	
8,167E+00	4,318E-01	
8,179E+00	1,134E+00	
8,191E+00	1,027E-01	
8,203E+00	8,401E-01	
8,215E+00	3,013E-01	
8,228E+00	1,219E+00	
8,240E+00	5,436E-01	
8,252E+00	1,455E+00	
8,264E+00	6,935E-01	
8,276E+00	1,514E+00	
8,289E+00	6,105E-01	
8,301E+00	1,011E+00	
8,313E+00	4,545E-01	
8,325E+00	1,663E+00	
8,337E+00	1,164E+00	
8,350E+00	2,226E+00	
8,362E+00	1,379E+00	
8,374E+00	1,475E+00	
8,386E+00	7,642E-01	
8,398E+00	1,123E+00	
8,411E+00	8,094E-01	
8,423E+00	2,205E+00	
8,435E+00	1,904E+00	
8,447E+00	2,281E+00	
8,459E+00	1,484E+00	
8,472E+00	1,018E+00	
8,484E+00	4,696E-01	
8,496E+00	1,774E+00	
8,508E+00	1,799E+00	
8,521E+00	2,556E+00	
8,533E+00	1,878E+00	
8,545E+00	1,605E+00	
8,557E+00	8,960E-01	
8,569E+00	1,126E+00	
8,582E+00	1,150E+00	
8,594E+00	2,617E+00	
8,606E+00	2,222E+00	
8,618E+00	2,274E+00	
8,630E+00	1,663E+00	
8,643E+00	6,720E-01	
8,655E+00	4,943E-01	
8,667E+00	2,160E+00	
8,679E+00	1,986E+00	
8,691E+00	2,445E+00	
8,704E+00	2,097E+00	
8,716E+00	1,068E+00	
8,728E+00	8,225E-01	
8,740E+00	1,512E+00	
8,752E+00	1,476E+00	
8,765E+00	2,633E+00	
8,777E+00	2,226E+00	
8,789E+00	1,550E+00	
8,801E+00	1,280E+00	
8,813E+00	8,633E-01	
8,826E+00	7,203E-01	
8,838E+00	2,373E+00	
8,850E+00	2,379E+00	
8,862E+00	2,261E+00	
8,875E+00	1,872E+00	
8,887E+00	7,410E-01	
8,899E+00	3,675E-01	
8,911E+00	1,917E+00	
8,923E+00	1,933E+00	
8,936E+00	2,550E+00	
8,948E+00	2,389E+00	
8,960E+00	1,566E+00	
8,972E+00	1,027E+00	
8,984E+00	1,515E+00	
8,997E+00	1,246E+00	
9,009E+00	2,355E+00	
9,021E+00	2,229E+00	
9,033E+00	1,776E+00	
9,045E+00	1,730E+00	
9,058E+00	9,618E-01	
9,070E+00	9,388E-01	
9,082E+00	2,014E+00	
9,094E+00	1,975E+00	
9,106E+00	2,070E+00	
9,119E+00	1,882E+00	
9,131E+00	1,028E+00	
9,143E+00	1,104E+00	
9,155E+00	1,640E+00	
9,167E+00	1,555E+00	
9,180E+00	2,184E+00	
9,192E+00	2,055E+00	
9,204E+00	1,402E+00	
9,216E+00	1,464E+00	
9,229E+00	1,191E+00	
9,241E+00	1,202E+00	
9,253E+00	1,642E+00	
9,265E+00	1,851E+00	
9,277E+00	1,555E+00	
9,290E+00	1,363E+00	
9,302E+00	8,955E-01	
9,314E+00	1,090E+00	
9,326E+00	1,205E+00	
9,338E+00	1,306E+00	
9,351E+00	1,049E+00	
9,363E+00	1,510E+00	
9,375E+00	1,080E+00	
9,387E+00	1,055E+00	
9,399E+00	1,119E+00	
9,412E+00	1,500E+00	
9,424E+00	1,037E+00	
9,436E+00	1,425E+00	
9,448E+00	5,295E-01	
9,460E+00	8,722E-01	
9,473E+00	5,549E-01	
9,485E+00	1,184E+00	
9,497E+00	1,192E+00	
9,509E+00	1,694E+00	
9,521E+00	6,499E-01	
9,534E+00	1,496E+00	
9,546E+00	1,526E-01	
9,558E+00	5,474E-01	
9,570E+00	1,064E+00	
9,583E+00	1,578E+00	
9,595E+00	1,139E+00	
9,607E+00	2,194E+00	
9,619E+00	8,132E-01	
9,631E+00	1,187E+00	
9,644E+00	5,253E-01	
9,656E+00	1,015E+00	
9,668E+00	1,167E+00	
9,680E+00	2,291E+00	
9,692E+00	1,224E+00	
9,705E+00	2,024E+00	
9,717E+00	9,214E-01	
9,729E+00	4,010E-01	
9,741E+00	7,582E-01	
9,753E+00	1,935E+00	
9,766E+00	1,485E+00	
9,778E+00	2,594E+00	
9,790E+00	1,472E+00	
9,802E+00	1,398E+00	
9,814E+00	4,797E-01	
9,827E+00	1,031E+00	
9,839E+00	1,216E+00	
9,851E+00	2,436E+00	
9,863E+00	1,627E+00	
9,875E+00	2,158E+00	
9,888E+00	1,221E+00	
9,900E+00	3,120E-01	
9,912E+00	7,445E-01	
9,924E+00	1,884E+00	
9,937E+00	1,382E+00	
9,949E+00	2,502E+00	
9,961E+00	1,673E+00	
9,973E+00	1,289E+00	
9,985E+00	6,028E-01	
9,998E+00	7,967E-01	
1,001E+01	1,033E+00	
1,002E+01	2,145E+00	
1,003E+01	1,688E+00	
1,005E+01	2,049E+00	
1,006E+01	1,226E+00	
1,007E+01	4,314E-01	
1,008E+01	6,979E-01	
1,010E+01	1,281E+00	
1,011E+01	1,349E+00	
1,012E+01	2,231E+00	
1,013E+01	1,509E+00	
1,014E+01	1,477E+00	
1,016E+01	7,257E-01	
